  "b"     "ka"    "b"       3400         "Bastin (1992)"
  "b"     "ka"    "b"       3500         "Pouchou (1998)"
  "b"     "ka"    "b"       3068         "Donovan (2011)"
  "b"     "ka"    "c"       6500         "Bastin (1992)"
  "b"     "ka"    "n"       11200        "Bastin (1992)"
  "b"     "ka"    "n"       11000        "Pouchou (1998)"
  "b"     "ka"    "n"       10421        "Donovan (2011)"
  "b"     "ka"    "mg"      59500        "Pouchou (1998)"
  "b"     "ka"    "mg"      54500        "Donovan (2011)"
  "b"     "ka"    "al"      64000        "Bastin (1992)"
  "b"     "ka"    "si"      84000        "Bastin (1992)"
  "b"     "ka"    "ti"      14700        "Bastin (1992)"
  "b"     "ka"    "v"       17700        "Bastin (1992)"
  "b"     "ka"    "cr"      20200        "Bastin (1992)"
  "b"     "ka"    "fe"      27300        "Bastin (1992)"
  "b"     "ka"    "co"      33400        "Bastin (1992)"
  "b"     "ka"    "ni"      42000        "Bastin (1992)"
  "b"     "ka"    "zr"      4000         "Bastin (1992)"
  "b"     "ka"    "nb"      4600        "Bastin (1992)"
  "b"     "ka"    "mo"      4550        "Bastin (1992)"
  "b"     "ka"    "la"      2500        "Bastin (1992)"
  "b"     "ka"    "ta"      22500        "Bastin (1992)"
  "b"     "ka"    "w"       21400        "Bastin (1992)"
  "b"     "ka"    "u"       8200        "Bastin (1992)"
  "b"     "ka"    "b"       3471         "Pouchou (1992)"
  "b"     "ka"    "c"       6750         "Pouchou (1992)"
  "b"     "ka"    "n"       11000        "Pouchou (1992)"
  "b"     "ka"    "o"       16500        "Pouchou (1992)"
  "b"     "ka"    "al"       64000        "Pouchou (1992)"
  "b"     "ka"    "si"       80000        "Pouchou (1992)"
  "b"     "ka"    "ti"       15000        "Pouchou (1992)"
  "b"     "ka"    "v"       18000        "Pouchou (1992)"
  "b"     "ka"    "cr"       20700        "Pouchou (1992)"
  "b"     "ka"    "fe"       27800        "Pouchou (1992)"
  "b"     "ka"    "co"       32000        "Pouchou (1992)"
  "b"     "ka"    "ni"       37000        "Pouchou (1992)"
  "b"     "ka"    "zr"       4400         "Pouchou (1992)"
  "b"     "ka"    "nb"       4500         "Pouchou (1992)"
  "b"     "ka"    "mo"       4600         "Pouchou (1992)"
