   1  "h "  "H "  "ka" "WC144"    1.00800  2  1
   2  "he"  "He"  "ka" "WC144"    4.00300  1  0
   3  "li"  "Li"  "ka" "WC144"    6.93900  2  1
   4  "be"  "Be"  "ka" "WC144"    9.01200  1  1
   5  "b "  "B "  "ka" "WC144"   10.81100  2  3
   6  "c "  "C "  "ka" "WC144"   12.01100  1  2
   7  "n "  "N "  "ka" "WSi60"   14.00700  2  5
   8  "o "  "O "  "ka" "WSi60"   16.00000  1  0
   9  "f "  "F "  "ka" "WSi45"   18.99800  1  0
  10  "ne"  "Ne"  "ka" "WSi60"   20.17900  1  0
  11  "na"  "Na"  "ka" "TAP"     22.99000  2  1
  12  "mg"  "Mg"  "ka" "TAP"     24.30500  1  1
  13  "al"  "Al"  "ka" "TAP"     26.98200  2  3
  14  "si"  "Si"  "ka" "TAP"     28.08600  1  2
  15  "p "  "P "  "ka" "PET"     30.97400  2  5
  16  "s "  "S "  "ka" "PET"     32.06400  1  3
  17  "cl"  "Cl"  "ka" "PET"     35.45300  1  0
  18  "ar"  "Ar"  "ka" "PET"     39.94800  1  0
  19  "k "  "K "  "ka" "PET"     39.10200  2  1
  20  "ca"  "Ca"  "ka" "PET"     40.08000  1  1
  21  "sc"  "Sc"  "ka" "LiF"     44.95600  2  3
  22  "ti"  "Ti"  "ka" "LiF"     47.90000  1  2
  23  "v "  "V "  "ka" "LiF"     50.94200  2  3
  24  "cr"  "Cr"  "ka" "LiF"     51.99600  2  3
  25  "mn"  "Mn"  "ka" "LiF"     54.93800  1  1
  26  "fe"  "Fe"  "ka" "LiF"     55.84700  1  1
  27  "co"  "Co"  "ka" "LiF"     58.93300  1  1
  28  "ni"  "Ni"  "ka" "LiF"     58.71000  1  1
  29  "cu"  "Cu"  "ka" "LiF"     63.54600  2  1
  30  "zn"  "Zn"  "ka" "LiF"     65.37000  1  1
  31  "ga"  "Ga"  "ka" "LiF"     69.72000  2  3
  32  "ge"  "Ge"  "ka" "LiF"     72.59000  1  2
  33  "as"  "As"  "la" "LiF"     74.92200  2  3
  34  "se"  "Se"  "la" "LiF"     78.96000  1  2
  35  "br"  "Br"  "la" "LiF"     79.90400  2  5
  36  "kr"  "Kr"  "la" "LiF"     83.80000  1  0
  37  "rb"  "Rb"  "la" "PET"     85.47000  2  1
  38  "sr"  "Sr"  "la" "PET"     87.62000  1  1
